Twitter User,Texto,Fecha de Creado,Hora,Región,Número de palabras,Número de letras,App Username,Tag
b'ALBERTO ALBY',b'RT @DossiCarla: Una sinistra che vive su Marte e propone ricette indigeste. Bravo @CarloCalenda \xf0\x9f\x91\x8f\n#lavoro #giovani #futuro #Europa il resto\xe2\x80\xa6',b'2018-12-16',b'11',"b'Monza, Lombardia'",b'21',b'140',b'MasterBigData',b'#Europa'
b'Nelson Pe\xc3\xb1aherrera Castillo',b'La #pol\xc3\xadtica en #Europa est\xc3\xa1 conmocionada este fin de a\xc3\xb1o.',b'2018-12-16',b'11',"b'sullana, Piura, Per\xc3\xba'",b'10',b'58',b'MasterBigData',b'#Europa'
b'Michael B\xc3\xbcchi\xf0\x9f\x87\xaa\xf0\x9f\x87\xba',"b'RT @JKasek: Die europaweite Rechte auf dem Kreuzzug verbunden mit christlichen Fanatikern gegen das Recht der Frau, gegen den liberalen Sta\xe2\x80\xa6'",b'2018-12-16',b'11',"b'Bern, Schweiz'",b'21',b'140',b'MasterBigData',b'#Europa'
b'Maren',"b'RT @St_Publikon: Unter den Augen der Welt geht das #Macron -Regime gegen Demonstranten vor wie gegen Ungeziefer! Schande, Schande \xc3\xbcber #Eur\xe2\x80\xa6'",b'2018-12-16',b'11',b'Bonn',b'21',b'140',b'MasterBigData',b'#Europa'
b'Carlos',"b'RT @MyrianeLibre: #Espa\xc3\xb1a\n\xc2\xbfSe convertir\xc3\xa1 en Estado Musulman?\nEstos grupos \xc3\xa1rabes radicados en #Europa Imponen la sharia, ley religiosa del\xe2\x80\xa6'",b'2018-12-16',b'11',b'None',b'20',b'139',b'MasterBigData',b'#Europa'
b'Jes\xc3\xbas Mara\xc3\xb1a',b'Los #lobbies y los populistas de derechas ponen zancadillas en #Europa a la lucha contra el cambio clim\xc3\xa1tico. Infor\xe2\x80\xa6 https://t.co/evKgKqSSsQ',b'2018-12-16',b'11',b'Madrid',b'20',b'140',b'MasterBigData',b'#Europa'
b'Bernd (BEROKKO)',b'RT @ReneTruninger: Gem\xc3\xa4ss #Merkel ist der #Migrationspakt automatisch auch f\xc3\xbcr die #Schweiz g\xc3\xbcltig!? https://t.co/zjmKtG5hVR',b'2018-12-16',b'11',b'Deutschland/\xc3\x96sterreich/Schweiz',b'14',b'124',b'MasterBigData',b'#Europa'
b'Consenso del Mercado',"b'El hecho de que #Alemania siga manteniendo una TIR tan baja, significa que las dudas sobre el #euro no se han desva\xe2\x80\xa6 https://t.co/IIJKarBkbP'",b'2018-12-16',b'11',b'Madrid',b'23',b'140',b'MasterBigData',b'#Europa'
b'Adri\xc3\xa1n',b'RT @jesusmarana: Los #lobbies y los populistas de derechas ponen zancadillas en #Europa a la lucha contra el cambio clim\xc3\xa1tico. Informe de @\xe2\x80\xa6',b'2018-12-16',b'11',"b'Torrej\xc3\xb3n de Ardoz, Espa\xc3\xb1a'",b'23',b'140',b'MasterBigData',b'#Europa'
b'VoetbalNieuws.be',b'Straffe statistiek voor competitieleider: \xe2\x80\x98Enkel Liverpool en PSG beter\xe2\x80\x99 #racinggenk #europa #GENSAR\xe2\x80\xa6 https://t.co/yVDuSPrJU9',b'2018-12-16',b'11',b'None',b'13',b'125',b'MasterBigData',b'#Europa'
